sample_index,path,actual_class,predicted_class,confidence,dataset
3,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\01ccbf6c-ad41-496f-b487-fe0d28c5b56f.Jpg,01_maydis_leaf_blight,03_curvularia_leaf_spot,0.8479,Rice_and_Maize_Dataset
13,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\0f3807b9-ad10-4f3d-abd0-5807ad34f21b.Jpg,01_maydis_leaf_blight,03_curvularia_leaf_spot,0.7949,Rice_and_Maize_Dataset
15,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\0f5cb919-a0ce-476e-a1ed-9b4398300672.Jpg,01_maydis_leaf_blight,01_aphid,0.4667,Rice_and_Maize_Dataset
21,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\0f91343c-b621-46cf-8b45-8892a3470cd1.Jpg,01_maydis_leaf_blight,02_turcicum_leaf_blight,0.9982,Rice_and_Maize_Dataset
25,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\0fe00830-a4f1-4bb5-b804-4417c9008a22.Jpg,01_maydis_leaf_blight,Maize_Healthy,0.4486,Rice_and_Maize_Dataset
34,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\1a6d4676-3daf-4aaa-96e4-f0b79aa1b1c9.Jpg,01_maydis_leaf_blight,02_turcicum_leaf_blight,0.7689,Rice_and_Maize_Dataset
37,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\1a81106b-83b9-4743-b13f-52d27d27a7aa.Jpg,01_maydis_leaf_blight,02_turcicum_leaf_blight,0.6158,Rice_and_Maize_Dataset
40,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\1abd700a-932d-4d43-ae90-385c2a9b663e.Jpg,01_maydis_leaf_blight,Maize_Healthy,0.9752,Rice_and_Maize_Dataset
45,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\1b3d5043-fd52-441c-a3a9-57854442d452.Jpg,01_maydis_leaf_blight,Maize_Healthy,0.97,Rice_and_Maize_Dataset
49,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\01_maydis_leaf_blight\1b8efd49-9702-47f7-b7e8-3f3857a0a45d.Jpg,01_maydis_leaf_blight,Maize_Healthy,0.7706,Rice_and_Maize_Dataset
50,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\03a0eecf-439e-4229-856d-85611b9c31e2.Jpg,02_turcicum_leaf_blight,03_curvularia_leaf_spot,0.4977,Rice_and_Maize_Dataset
51,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\03aa0988-772c-4f3b-8e12-9ae72059ebe7.Jpg,02_turcicum_leaf_blight,01_maydis_leaf_blight,0.3705,Rice_and_Maize_Dataset
55,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\2dac7784-ec5a-476a-93ff-1e08dd05e714.Jpg,02_turcicum_leaf_blight,Maize_Healthy,0.4774,Rice_and_Maize_Dataset
57,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\2dc081f7-3ebd-4f63-9fcb-1e50d103bda9.Jpg,02_turcicum_leaf_blight,Maize_Healthy,0.6016,Rice_and_Maize_Dataset
67,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\2f14951b-d624-4522-bed6-3fd255d642e8.Jpg,02_turcicum_leaf_blight,Maize_Healthy,0.8961,Rice_and_Maize_Dataset
73,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\2fb20f7a-d7b9-4d89-856f-772d2c8e8e26.Jpg,02_turcicum_leaf_blight,Maize_Healthy,0.8796,Rice_and_Maize_Dataset
75,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\2fdbcea2-dd17-4827-bf4c-9ffbc2f13472.Jpg,02_turcicum_leaf_blight,Maize_Healthy,0.6384,Rice_and_Maize_Dataset
80,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\2fff4e2a-3032-4cde-b6b5-b57343d6db85.Jpg,02_turcicum_leaf_blight,01_maydis_leaf_blight,0.7321,Rice_and_Maize_Dataset
83,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\3a40f9f9-2a00-4974-b008-fc8e4de8b5ad.Jpg,02_turcicum_leaf_blight,Maize_Healthy,0.9808,Rice_and_Maize_Dataset
84,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\3a414ce9-19c9-4013-b069-636ee6b0d3e5.Jpg,02_turcicum_leaf_blight,04_sorghum_downy_mildew,0.6997,Rice_and_Maize_Dataset
89,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\3b2b6d8b-8f33-49ee-aceb-c994c7d4742c.Jpg,02_turcicum_leaf_blight,Maize_Healthy,0.4548,Rice_and_Maize_Dataset
98,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\02_turcicum_leaf_blight\3b7afc38-e97d-4c9b-a179-7cce446e2377.Jpg,02_turcicum_leaf_blight,01_maydis_leaf_blight,0.5286,Rice_and_Maize_Dataset
101,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\04e42f20-b1f0-41e9-b092-dcb3123b1294.Jpg,03_curvularia_leaf_spot,01_maydis_leaf_blight,0.5843,Rice_and_Maize_Dataset
102,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\2dc0bee9-6514-4364-95d7-3a2f10285edf.Jpg,03_curvularia_leaf_spot,02_fall_armyworm,0.4789,Rice_and_Maize_Dataset
125,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\3c56c005-be50-4917-b358-57a68aa88b8e.Jpg,03_curvularia_leaf_spot,01_maydis_leaf_blight,0.3188,Rice_and_Maize_Dataset
128,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\3da18287-1464-4fee-9944-5b6cb3042e5d.Jpg,03_curvularia_leaf_spot,Maize_Healthy,0.9144,Rice_and_Maize_Dataset
131,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\3ea64ad1-e0eb-47c0-9dc9-4e49c15bb154.Jpg,03_curvularia_leaf_spot,02_turcicum_leaf_blight,0.506,Rice_and_Maize_Dataset
132,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\3ed94021-3b25-4d91-b85d-57a970ffd4d4.Jpg,03_curvularia_leaf_spot,Maize_Healthy,0.6165,Rice_and_Maize_Dataset
135,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\3fa07a88-a0b4-4582-8125-41a07bf7a550.Jpg,03_curvularia_leaf_spot,02_turcicum_leaf_blight,0.4423,Rice_and_Maize_Dataset
136,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\3faf61d9-5117-42ce-99d3-da1be6ed0827.Jpg,03_curvularia_leaf_spot,04_sorghum_downy_mildew,0.5986,Rice_and_Maize_Dataset
146,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\4bab2279-de01-4115-b78f-cc7ea97a43f3.Jpg,03_curvularia_leaf_spot,02_Brown_spot,0.2071,Rice_and_Maize_Dataset
147,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\03_curvularia_leaf_spot\4bcd59ee-8154-48ed-a932-a1e6ec5713e2.Jpg,03_curvularia_leaf_spot,02_turcicum_leaf_blight,0.7566,Rice_and_Maize_Dataset
169,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\04_sorghum_downy_mildew\33fc9328-d6dc-4ffd-81f8-3eac3f76779e.Jpg,04_sorghum_downy_mildew,Maize_Healthy,0.9488,Rice_and_Maize_Dataset
180,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\04_sorghum_downy_mildew\8e0646bd-b1e7-452f-b149-4aa93d150c0a.Jpg,04_sorghum_downy_mildew,Maize_Healthy,0.5331,Rice_and_Maize_Dataset
181,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\04_sorghum_downy_mildew\8e8129f9-965c-4294-bb51-645e1688de06.Jpg,04_sorghum_downy_mildew,Maize_Healthy,0.9529,Rice_and_Maize_Dataset
185,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\04_sorghum_downy_mildew\8fa1f436-8a50-497b-825a-ec78e24f4287.Jpg,04_sorghum_downy_mildew,03_FAW_symptoms,0.4484,Rice_and_Maize_Dataset
189,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\04_sorghum_downy_mildew\9c7a27a4-2d79-457f-8c7d-488479ffc8bf.Jpg,04_sorghum_downy_mildew,Maize_Healthy,0.9927,Rice_and_Maize_Dataset
195,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\04_sorghum_downy_mildew\9f1efd67-8ca3-482f-afd8-6f40b3cc2e76.Jpg,04_sorghum_downy_mildew,Maize_Healthy,0.961,Rice_and_Maize_Dataset
196,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Disease\04_sorghum_downy_mildew\9f56dcb4-9120-482c-ab35-3df43be50c61.Jpg,04_sorghum_downy_mildew,03_False_smut,0.2856,Rice_and_Maize_Dataset
251,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\01_aphid\Maize_Aphid 190.jpg,01_aphid,05_Leaf_folder,0.5883,Rice_and_Maize_Dataset
281,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\01_aphid\Maize_Aphid 220.jpg,01_aphid,02_fall_armyworm,0.9945,Rice_and_Maize_Dataset
284,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\01_aphid\Maize_Aphid 223.jpg,01_aphid,03_curvularia_leaf_spot,0.8649,Rice_and_Maize_Dataset
289,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\01_aphid\Maize_Aphid 228.jpg,01_aphid,05_Leaf_folder,0.5184,Rice_and_Maize_Dataset
338,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\02_fall_armyworm\Fall_Army_Worm185.jpg,02_fall_armyworm,06_Rice_skipper,0.864,Rice_and_Maize_Dataset
351,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom400.jpg,03_FAW_symptoms,Maize_Healthy,0.9993,Rice_and_Maize_Dataset
352,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom401.jpg,03_FAW_symptoms,Maize_Healthy,0.4208,Rice_and_Maize_Dataset
359,C:\Users\prans\Downloads\Rice_and_Maize_Dataset\Maize\Insect-pests\03_FAW_symptoms\FAW_Symptom408.jpg,03_FAW_symptoms,Maize_Healthy,0.9299,Rice_and_Maize_Dataset
