class_index,class_name,images,correct,accuracy,precision,recall,f1
0,01_Bacterial_leaf_blight,50,42,84.0,0.8235,0.84,0.8317
1,01_aphid,50,46,92.0,0.9388,0.92,0.9293
2,01_maydis_leaf_blight,50,40,80.0,0.8163,0.8,0.8081
3,02_Brown_spot,50,41,82.0,0.82,0.82,0.82
4,02_fall_armyworm,50,49,98.0,0.8909,0.98,0.9333
5,02_turcicum_leaf_blight,50,38,76.0,0.7755,0.76,0.7677
6,03_FAW_symptoms,50,29,58.0,0.9355,0.58,0.716
7,03_False_smut,50,48,96.0,0.8727,0.96,0.9143
8,03_curvularia_leaf_spot,50,40,80.0,0.8696,0.8,0.8333
9,04_leaf_sheath_blight,50,44,88.0,0.7458,0.88,0.8073
10,04_sorghum_downy_mildew,50,43,86.0,0.9149,0.86,0.8866
11,05_Leaf_folder,50,41,82.0,0.7885,0.82,0.8039
12,06_Rice_skipper,50,44,88.0,0.898,0.88,0.8889
13,07_White_stem_borer,52,48,92.31,0.8276,0.9231,0.8727
14,08_Yellow_stem_borer,50,42,84.0,1.0,0.84,0.913
15,Maize_Healthy,50,50,100.0,0.5208,1.0,0.6849
16,Pepper__bell___Bacterial_spot,9,3,33.33,0.25,0.3333,0.2857
17,Pepper__bell___healthy,8,2,25.0,1.0,0.25,0.4
18,Potato___Early_blight,8,2,25.0,0.2857,0.25,0.2667
19,Potato___Late_blight,8,1,12.5,0.2,0.125,0.1538
20,Potato___healthy,0,0,0.0,0.0,0.0,0.0
21,Rice_Healthy,50,44,88.0,0.9167,0.88,0.898
22,Tomato_Bacterial_spot,9,0,0.0,0.0,0.0,0.0
23,Tomato_Early_blight,9,1,11.11,0.25,0.1111,0.1538
24,Tomato_Late_blight,10,5,50.0,0.2,0.5,0.2857
25,Tomato_Leaf_Mold,6,0,0.0,0.0,0.0,0.0
26,Tomato_Septoria_leaf_spot,11,2,18.18,0.4,0.1818,0.25
27,Tomato_Spider_mites_Two_spotted_spider_mite,2,0,0.0,0.0,0.0,0.0
28,Tomato__Target_Spot,0,0,0.0,0.0,0.0,0.0
29,Tomato__Tomato_YellowLeaf__Curl_Virus,6,1,16.67,1.0,0.1667,0.2857
30,Tomato__Tomato_mosaic_virus,10,0,0.0,0.0,0.0,0.0
31,Tomato_healthy,8,0,0.0,0.0,0.0,0.0
